prolific1:1,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
603760204bc45841d4a59778,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,4,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,3,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,20,Female,5,1,1,5,2022-06-17-11-43,2022-06-17-11-52,9
5e6e6497d33339419afd90f9,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,33,male,5,3,5,3,2022-06-17-11-44,2022-06-17-11-49,5
56a1226de1e5a600068f943c,1,1,1,1,1,2,2,1,1,1,1,4,2,2,1,1,1,1,1,2,2,1,1,1,1,4,2,2,1,1,4,1,2,2,2,1,1,4,2,2,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,37,Female,5,2,5,5,2022-06-17-11-45,2022-06-17-11-52,7
5ab8e7f5e10996000169fe0b,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,51,Female,5,5,5,5,2022-06-17-11-40,2022-06-17-11-57,17
5a4be7b3d5b53b0001f8213f,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,4,4,1,1,1,1,1,2,2,1,1,1,1,4,4,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,27,woman,2,1,2,3,2022-06-17-11-42,2022-06-17-11-49,7
5cfadb3e8c897900019bc0d5,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,30,female,3,2,1,1,2022-06-17-11-44,2022-06-17-11-50,6
60d203969a93bbfcd7891472,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,4,2,2,2,2,2,1,1,1,1,2,2,2,25,female,1,1,1,1,2022-06-17-11-38,2022-06-17-11-44,6
6280dbcc8d247bdbb1ad5f63,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,4,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,37,Female,3,3,3,3,2022-06-17-11-44,2022-06-17-11-48,4
5ecd04d79551420008675de7,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,4,2,2,2,2,1,1,4,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,29,Woman,4,3,4,5,2022-06-17-11-44,2022-06-17-11-50,6
58c1886c3977190001f53ec8,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,2,1,1,3,3,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,4,2,2,2,2,1,1,1,1,2,2,2,50,female,5,1,1,4,2022-06-17-11-41,2022-06-17-11-51,10
60c3e7e4441366ce597c8d00,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,31,Woman ,5,5,2,2,2022-06-17-11-45,2022-06-17-11-52,7
5eb9697b651aca0436adfe9d,1,1,1,3,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,3,3,2,2,1,1,3,2,2,2,2,1,1,1,3,2,2,2,1,1,1,3,2,2,2,1,1,1,1,2,2,2,1,1,3,3,2,2,2,1,1,1,1,2,2,2,34,Female,1,1,1,1,2022-06-17-11-41,2022-06-17-11-47,6
5ba683e58e137f000161a454,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,4,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,4,2,2,67,Male,5,5,3,3,2022-06-17-11-44,2022-06-17-11-52,8
5ea17afa9b1fb6023ebc9117,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,1,2,2,2,32,female,3,1,4,4,2022-06-17-11-44,2022-06-17-11-52,8
5d5549d6d16f760018d0d3bf,1,1,1,1,4,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,4,2,2,1,1,1,1,4,2,2,1,1,1,3,2,2,2,1,1,1,3,2,2,2,1,1,1,1,2,3,2,1,1,3,3,2,2,2,1,1,1,1,3,2,2,40,Female,1,1,1,1,2022-06-17-11-38,2022-06-17-11-43,5
5c76f7e9180995001367c11a,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,4,2,2,58,Female,1,1,1,1,2022-06-17-11-42,2022-06-17-11-49,7
600acba5554665052102bb41,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,39,female,5,1,3,4,2022-06-17-11-42,2022-06-17-11-49,7
5f4e6581cc17d40391914c45,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,33,male,1,1,1,1,2022-06-17-11-38,2022-06-17-11-49,11
60ff1252dd684346c5953ae4,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,2,4,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,29,Female ,1,1,1,1,2022-06-17-11-41,2022-06-17-11-47,6
6123519eeb9d4e4df41ad7d8,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,1,1,2,2,1,1,1,4,2,2,2,1,1,4,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,39,Female,1,1,1,1,2022-06-17-11-51,2022-06-17-11-58,7
