prolific1:1,counterbalance:1,they:1,they:2,they:3,han:1,han:2,han:3,a1:1,a2:1,a3:1,a4:1,a5:1,a7:1,a8_3:1,a8_4:1,a9:1,a10:1,b01:1,b02_1:1,b02_2:1,b03:1,b04:1,b05:1,b06:1,b07:1,b08:1,b09:1,w01:1,w02:1,w03:1,w04:1,w05:1,w06:1,w07:1,w08:1,w09:1,w10:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
57b4d420869234000179f45a,1,,,,Having a job taking the dog out,It seems to be pulling on its lead,Dragging the walker along with them,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,2,1,2,1,2,2,1,2,1,2,61,female,3,4,5,2,2022-07-21-13-47,2022-07-21-13-55,8
614996ea0d6f318ed4ff81e9,2,The person in the image is walking their dog.,They appear to be having a very hard time with it.,The dog is not listening to them and making it very hard to walk it.,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,3,3,1,31,Male,3,3,3,3,2022-07-21-13-42,2022-07-21-13-46,4
613b9970d27548b91ee600a3,1,,,,They are walking the dog,They are being pulled by the dog,They seem annoyed by the dog,2,1,4,3,2,3,2,1,1,3,2,1,2,2,2,2,4,4,2,1,2,2,4,2,1,1,2,2,2,2,28,Female - she/her ,1,1,1,1,2022-07-21-13-53,2022-07-21-13-57,4
60f5db51ea1f75902fc20970,2,They are taking the dog out for a walk. ,They are holding on the the dog on a lease and trying to speed up with the dod.,They are confused for some reason.,,,,2,3,1,3,2,2,3,1,2,3,2,1,3,2,1,2,2,1,2,3,2,2,2,2,3,3,1,1,2,2,30,Female,1,1,1,1,2022-07-21-13-48,2022-07-21-13-55,7
5ea1a7f4059c49070ad7c787,1,,,,He is getting dragged along by his dog,He is shouting something while his dog is pulling him,He is getting angry about his dogging pulling him,4,1,1,4,2,4,4,1,4,1,4,1,2,4,2,2,2,2,2,2,4,2,4,2,4,1,1,1,2,4,32,Female,1,1,1,1,2022-07-21-13-50,2022-07-21-13-53,3
554bfda7fdf99b14da73ce54,2,The person is walking their dog,Their dog seems to be pulling too hard,The man is getting annoyed so he starts swearing,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,25,Male,4,2,4,4,2022-07-21-13-50,2022-07-21-13-52,2
613350134d70b5c6f356d045,2,the dog appears to be pulling the person along,the person looks to be very angry and agitated with the dog,the person does not have any legs but appears to be going faster than they like,,,,2,4,3,3,2,1,1,1,3,1,2,1,1,2,3,2,2,4,1,3,2,2,1,2,2,1,3,1,2,2,24,Male,5,4,4,5,2022-07-21-14-02,2022-07-21-14-06,4
5d5d4e64f3a4660018e71d8d,1,,,,He is walking the dog on a leash.,His dog has started to pull at the lead aggressively and is starting to run.,The man is being dragged along by the dog. He is confused by the dog running away and wonders what the dog has seen.,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,37,woman / female,5,3,5,5,2022-07-21-13-49,2022-07-21-13-54,5
5a68c9f563394a000155cbe5,1,,,,He is walking a dog,He seems to being pulled,He seems perplexed,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,59,Female,2,2,2,5,2022-07-21-13-46,2022-07-21-13-52,6
60c27c5a0f912836c83a9515,2,They are walking a dog.,The dog is wandering off.,They are trying to stop the dog from wandering off. ,,,,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,27,Female,3,1,1,2,2022-07-21-13-51,2022-07-21-13-55,4
6099d0c4177e5e70cf0d7584,2,I am out walking my dog.,My dog is excited and pulling me along.,It is hard to slow the dog down.,,,,4,1,3,3,3,2,1,1,1,1,2,1,2,3,2,4,2,3,2,3,4,3,3,1,4,4,4,1,4,2,57,Male,4,3,2,3,2022-07-21-13-47,2022-07-21-13-51,4
5e904c70d2668d34a40d37af,1,,,,he is walking the dog,he is being pulled over,he is swearing,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,4,2,1,2,2,1,1,1,2,1,1,2,2,35,female,4,3,2,5,2022-07-21-13-52,2022-07-21-13-56,4
61079dae5050df7b3efe4bf9,2,They are walking the dog,They are trying to get the dog to walk the opposite direction,They are complaining with the dog,,,,1,4,1,1,2,2,4,1,1,1,2,1,2,1,4,2,4,1,2,1,2,2,1,4,1,4,2,1,2,2,26,cis female,2,1,2,1,2022-07-21-13-41,2022-07-21-13-47,6
5a58f418f6c517000194f047,1,,,,He is walking his dog,His dog is pulling him along,He is confused,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,4,1,1,2,2,44,female,3,1,1,2,2022-07-21-13-51,2022-07-21-13-55,4
60fd3848b4d176e1203c7894,1,,,,The man is confused about where the dog is pulling him and shouts at the dog to stop pulling,"The man is interested in what is going on to his right but the dog wants to go to the left, the man is pulling the dog to his right ","the man is confused about which way he should go, left or right, but the dog decides to go left",2,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,20,female,1,1,1,1,2022-07-21-13-49,2022-07-21-13-56,7
60e8f275f92d76c8f3a687bb,1,,,,He is walking the dog,His dog seems to be stubborn,He looks frustrated ,2,1,1,3,3,3,1,1,1,3,2,1,3,2,1,3,1,1,2,1,2,2,2,3,2,2,3,2,2,2,28,Female,5,2,1,5,2022-07-21-13-46,2022-07-21-13-52,6
5d57d96be49322001894d554,2,They are struggling to stop the dog from pulling!,They are yelling at the dog to slow down. ,They are frustrated and do not seem to know what to do to get the dog under control. ,,,,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,52,female,5,5,5,5,2022-07-21-13-48,2022-07-21-13-53,5
571fdcb14b8ecc0013c24fcb,1,,,,He is walking a dog,The dog is dragging him along,He is wondering why the dog is pulling him so hard,4,1,2,3,2,4,4,4,1,2,2,1,2,1,4,2,2,4,2,1,2,2,2,3,2,2,2,2,2,2,53,Female,3,1,3,1,2022-07-21-13-48,2022-07-21-13-54,6
58693d5b1ed9d10001050196,2,They are walking a dog on a lead.,They are wondering why the dog is going so fast.,"The dog is going to fast and pulling too hard for it's owner, who is struggling to keep up.",,,,2,4,4,4,2,4,1,1,1,2,2,1,2,1,4,2,2,1,2,1,1,2,1,4,1,4,4,1,2,2,55,Male,2,1,2,4,2022-07-21-13-47,2022-07-21-13-56,9
611eb4e2eb8483596b39d46b,1,,,,he is calling for attention,He is yelling ,He is asking question,2,4,2,2,2,2,2,2,1,1,2,1,2,4,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,30,female,5,5,2,5,2022-07-21-13-50,2022-07-21-13-59,9
